,00_average_tfidf
face,0.120278226128123
strong,0.1201898081986516
closely,0.11997265813099654
boost,0.11938679981520704
weeks,0.11825529386401447
address,0.11660809906253093
following,0.11587798522742522
second,0.115594928752386
citing,0.11555678899353597
ensure,0.11316803080847969
issue,0.11316285755440532
history,0.11290700405758354
groups,0.11282552299550136
fans,0.11265764437143376
used,0.1122888034574161
launched,0.11206450562728522
past,0.11203479351749383
pressure,0.11151711609683651
plans,0.11144276148274995
united,0.11131063387178061
area,0.11041464598683315
taking,0.10954666855118005
million,0.10920322990132401
growing,0.1091602490813717
league,0.10787018488523822
use,0.10782065265847092
stated,0.10719471839480835
authorities,0.10704918703828248
health,0.10676333520510752
england,0.1065467331025866
success,0.10627111451933859
revealed,0.106191251463384
known,0.10615369910477662
case,0.1057662061877777
company,0.10524820179448531
safety,0.10456340868237855
experience,0.10440755014485906
players,0.10434052748063684
struggling,0.10407543732128702
court,0.10377801701446591
performance,0.10309367139315749
praised,0.103034821677461
media,0.10196198331525401
stating,0.10126919324933749
leading,0.10110035889239573
clear,0.10061746328426924
region,0.10044126441935047
debate,0.1001452150500138
development,0.10008818402839549
bring,0.09985087782094265
club,0.09889497001147406
result,0.0987292169284625
game,0.09858161720638867
end,0.0982374394445765
state,0.09820174269890143
spokesperson,0.09799569711714107
argue,0.09752367395015206
campaign,0.09642846210376983
held,0.09585225910661448
particularly,0.09556441631805973
manager,0.0955459168766634
european,0.09499871978222298
lack,0.09466256468557367
london,0.09430608788722555
party,0.09363499229388408
ability,0.09360144014381404
economy,0.09312203770517087
increased,0.09296075982690848
given,0.09293306267636423
report,0.09237858610073867
best,0.09204691187616533
range,0.09194760900783351
form,0.0915950650839363
economic,0.0914914447688838
later,0.09137900847230228
crucial,0.09117569637160927
thousands,0.09086875927947996
issues,0.0906298068866537
facing,0.0904489658918035
young,0.09024098909449932
security,0.08908705705719631
reported,0.08903185139301627
industry,0.08877643331022501
10,0.0881170088309146
attack,0.0880295474951752
accused,0.08788877627640294
warned,0.08776812442492629
prevent,0.08737104245680326
staff,0.08675286779921997
criticism,0.08669067825454584
providing,0.08665184539400554
argued,0.08617998507007318
challenges,0.08607723454027655
saw,0.0860601424928037
using,0.08581668156622861
residents,0.0857168026169111
rights,0.08545676216884802
power,0.08537823700962091
measures,0.08489552746746341
improve,0.08428581086575199
areas,0.08305778035203118
involved,0.08260542700342233
service,0.08242675382168332
current,0.08197362512490976
scottish,0.0811978361116613
day,0.08115761307341814
minister,0.08070254274687776
final,0.08062878216702737
comments,0.08043806596428514
human,0.08041890205129329
president,0.07955881060028136
information,0.079509364922028
centre,0.0778498963082364
situation,0.0778099985153133
man,0.07752116941745867
justice,0.07742578426095735
half,0.0771946961066381
risk,0.07717116654606761
funding,0.07653566732880898
death,0.07641976012618734
visitors,0.07631786426584422
office,0.0758335343971717
player,0.07565224704339435
defence,0.07550442073054014
wales,0.07549586030719643
approach,0.07534501170940458
countries,0.07420271272347637
goal,0.07349700334115898
union,0.0734497694170267
scotland,0.07336727623448829
football,0.0730926614324499
event,0.07289489732668221
financial,0.07169318641728656
council,0.07120361901666647
business,0.07117355205487938
children,0.07065607029251712
deal,0.07060298474358372
ireland,0.06959377369399894
teams,0.06897817677810797
market,0.0656312595430957
women,0.06562245456596331
families,0.0653578497478069
northern,0.06447775582973303
north,0.06362269202160135
education,0.06312797598117664
data,0.06254147469500206
care,0.06242653173951413
south,0.062345326153911994
growth,0.062206150975190194
victims,0.05777383673887394
project,0.056982479127392294
eu,0.05570768561809274
hospital,0.05460948620709054
welsh,0.05234795663867872
labour,0.05132307955829181
